playerID,yearID,gameNum,gameID,teamID,lgID,GP,startingPos
wellsda01,2000.0,0.0,NLS200007110,TOR,AL,1.0,1.0
rodriiv01,2000.0,0.0,NLS200007110,TEX,AL,1.0,2.0
giambja01,2000.0,0.0,NLS200007110,OAK,AL,1.0,3.0
alomaro01,2000.0,0.0,NLS200007110,CLE,AL,1.0,4.0
frymatr01,2000.0,0.0,NLS200007110,CLE,AL,1.0,5.0
jeterde01,2000.0,0.0,NLS200007110,NYA,AL,1.0,6.0
evereca01,2000.0,0.0,NLS200007110,BOS,AL,1.0,7.0
willibe02,2000.0,0.0,NLS200007110,NYA,AL,1.0,8.0
dyeje01,2000.0,0.0,NLS200007110,KCA,AL,1.0,9.0
baldwja01,2000.0,0.0,NLS200007110,CHA,AL,1.0,
batisto01,2000.0,0.0,NLS200007110,TOR,AL,1.0,
bordimi01,2000.0,0.0,NLS200007110,BAL,AL,1.0,
delgaca01,2000.0,0.0,NLS200007110,TOR,AL,1.0,
durhara01,2000.0,0.0,NLS200007110,CHA,AL,1.0,
erstada01,2000.0,0.0,NLS200007110,ANA,AL,1.0,
finlech01,2000.0,0.0,NLS200007110,CLE,AL,0.0,
garcino01,2000.0,0.0,NLS200007110,BOS,AL,1.0,
glaustr01,2000.0,0.0,NLS200007110,ANA,AL,1.0,
hudsoti01,2000.0,0.0,NLS200007110,OAK,AL,1.0,
isrinja01,2000.0,0.0,NLS200007110,OAK,AL,1.0,
jonesto02,2000.0,0.0,NLS200007110,DET,AL,1.0,
lawtoma02,2000.0,0.0,NLS200007110,MIN,AL,1.0,
lowede01,2000.0,0.0,NLS200007110,BOS,AL,1.0,
martied01,2000.0,0.0,NLS200007110,SEA,AL,1.0,
martipe02,2000.0,0.0,NLS200007110,BOS,AL,0.0,
mcgrifr01,2000.0,0.0,NLS200007110,TBA,AL,1.0,
ordonma01,2000.0,0.0,NLS200007110,CHA,AL,1.0,
posadjo01,2000.0,0.0,NLS200007110,NYA,AL,1.0,
ramirma02,2000.0,0.0,NLS200007110,CLE,AL,0.0,
ripkeca01,2000.0,0.0,NLS200007110,BAL,AL,0.0,
riverma01,2000.0,0.0,NLS200007110,NYA,AL,1.0,
rodrial01,2000.0,0.0,NLS200007110,SEA,AL,0.0,
seleaa01,2000.0,0.0,NLS200007110,SEA,AL,1.0,
sweenmi01,2000.0,0.0,NLS200007110,KCA,AL,1.0,
johnsra05,2000.0,0.0,NLS200007110,ARI,NL,1.0,1.0
kendaja01,2000.0,0.0,NLS200007110,PIT,NL,1.0,2.0
galaran01,2000.0,0.0,NLS200007110,ATL,NL,1.0,3.0
kentje01,2000.0,0.0,NLS200007110,SFN,NL,1.0,4.0
jonesch06,2000.0,0.0,NLS200007110,ATL,NL,1.0,5.0
larkiba01,2000.0,0.0,NLS200007110,CIN,NL,1.0,6.0
guerrvl01,2000.0,0.0,NLS200007110,MON,NL,1.0,7.0
edmonji01,2000.0,0.0,NLS200007110,SLN,NL,1.0,8.0
sosasa01,2000.0,0.0,NLS200007110,CHN,NL,1.0,9.0
